wavelength xatm
2980.0 0.07270000129938126
3005.0 0.09920000284910202
3030.0 0.13079999387264252
3055.0 0.1673000007867813
3080.0 0.20749999582767487
3105.0 0.24699999392032623
3130.0 0.28619998693466187
3155.0 0.34439998865127563
3180.0 0.3919999897480011
3205.0 0.4300000071525574
3230.0 0.4584999978542328
3255.0 0.48170000314712524
3280.0 0.5006999969482422
3305.0 0.5188999772071838
3330.0 0.535099983215332
3355.0 0.5486000180244446
3380.0 0.5580999851226807
3405.0 0.5669000148773193
3430.0 0.572700023651123
3455.0 0.5812000036239624
3480.0 0.5958999991416931
3505.0 0.6111999750137329
3530.0 0.6220999956130981
3555.0 0.6294000148773193
3580.0 0.6349999904632568
3605.0 0.6406000256538391
3630.0 0.647599995136261
3655.0 0.6553000211715698
3680.0 0.663100004196167
3705.0 0.670199990272522
3730.0 0.6762999892234802
3755.0 0.6815000176429749
3780.0 0.6862999796867371
3805.0 0.6912000179290771
3830.0 0.6965000033378601
3855.0 0.7023000121116638
3880.0 0.7088000178337097
3905.0 0.7157999873161316
3930.0 0.7235000133514404
3955.0 0.7315000295639038
3980.0 0.739300012588501
4005.0 0.746399998664856
4030.0 0.7526000142097473
4055.0 0.7580999732017517
4080.0 0.7631000280380249
4105.0 0.7680000066757202
4130.0 0.7727000117301941
4155.0 0.777400016784668
4180.0 0.7820000052452087
4205.0 0.7861999869346619
4230.0 0.7901999950408936
4255.0 0.7940000295639038
4280.0 0.7975999712944031
4305.0 0.8012999892234802
4330.0 0.8048999905586243
4355.0 0.8087000250816345
4380.0 0.8123999834060669
4405.0 0.816100001335144
4430.0 0.8198999762535095
4455.0 0.8234999775886536
4480.0 0.8270999789237976
4505.0 0.8305000066757202
4530.0 0.8337000012397766
4555.0 0.8367999792098999
4580.0 0.8396999835968018
4605.0 0.8424999713897705
4630.0 0.845300018787384
4655.0 0.8479999899864197
4680.0 0.8504999876022339
4705.0 0.8528000116348267
4730.0 0.8549000024795532
4755.0 0.8568000197410583
4780.0 0.8586999773979187
4805.0 0.8605999946594238
4830.0 0.862500011920929
4855.0 0.864300012588501
4880.0 0.866100013256073
4905.0 0.8677999973297119
4930.0 0.8693000078201294
4955.0 0.8705999851226807
4980.0 0.8719000220298767
5005.0 0.8730000257492065
5030.0 0.8740000128746033
5055.0 0.875
5080.0 0.8758999705314636
5105.0 0.876800000667572
5130.0 0.8776999711990356
5155.0 0.8784999847412109
5180.0 0.8794000148773193
5205.0 0.880299985408783
5230.0 0.8812999725341797
5255.0 0.8822000026702881
5280.0 0.8831999897956848
5305.0 0.8841999769210815
5330.0 0.885200023651123
5355.0 0.8860999941825867
5380.0 0.886900007724762
5405.0 0.8877000212669373
5430.0 0.8884999752044678
5455.0 0.8891000151634216
5480.0 0.8896999955177307
5505.0 0.8902000188827515
5530.0 0.8906999826431274
5555.0 0.8910999894142151
5580.0 0.8913999795913696
5605.0 0.891700029373169
5630.0 0.8920000195503235
5655.0 0.892300009727478
5680.0 0.8925999999046326
5705.0 0.8928999900817871
5730.0 0.8932999968528748
5755.0 0.8938000202178955
5780.0 0.8945000171661377
5805.0 0.8952000141143799
5830.0 0.8962000012397766
5855.0 0.8973000049591064
5880.0 0.8985999822616577
5905.0 0.9000999927520752
5930.0 0.9017999768257141
5955.0 0.9036999940872192
5980.0 0.9057000279426575
6005.0 0.9078999757766724
6030.0 0.9103000164031982
6055.0 0.9128000140190125
6080.0 0.9153000116348267
6105.0 0.9176999926567078
6130.0 0.9199000000953674
6155.0 0.921999990940094
6180.0 0.923799991607666
6205.0 0.9253000020980835
6230.0 0.9265000224113464
6255.0 0.9275000095367432
6280.0 0.9284999966621399
6305.0 0.9294000267982483
6330.0 0.9304999709129333
6355.0 0.9315999746322632
6380.0 0.932699978351593
